127.0.0.1 - - [06/Aug/2018:09:41:09 +0800] "GET / HTTP/1.1" 404 994
192.168.1.94 - - [06/Aug/2018:09:41:09 +0800] "GET /softqin-admin/ HTTP/1.1" 200 7748
192.168.1.94 - - [06/Aug/2018:09:41:10 +0800] "GET /softqin-admin/static/login/css/camera.css HTTP/1.1" 200 2216
192.168.1.94 - - [06/Aug/2018:09:41:10 +0800] "GET /softqin-admin/static/login/matrix-login.css HTTP/1.1" 200 4134
192.168.1.94 - - [06/Aug/2018:09:41:10 +0800] "GET /softqin-admin/static/login/font-awesome.css HTTP/1.1" 200 19654
192.168.1.94 - - [06/Aug/2018:09:41:10 +0800] "GET /softqin-admin/static/login/bootstrap-responsive.min.css HTTP/1.1" 200 16849
192.168.1.94 - - [06/Aug/2018:09:41:10 +0800] "GET /softqin-admin/static/js/jquery-1.5.1.min.js HTTP/1.1" 200 85260
192.168.1.94 - - [06/Aug/2018:09:41:10 +0800] "GET /softqin-admin/static/login/bootstrap.min.css HTTP/1.1" 200 108043
192.168.1.94 - - [06/Aug/2018:09:41:10 +0800] "GET /softqin-admin/static/login/logo.png HTTP/1.1" 200 1247
192.168.1.94 - - [06/Aug/2018:09:41:10 +0800] "GET /softqin-admin/static/login/user.png HTTP/1.1" 200 271
192.168.1.94 - - [06/Aug/2018:09:41:10 +0800] "GET /softqin-admin/static/js/bootstrap.min.js HTTP/1.1" 200 28618
192.168.1.94 - - [06/Aug/2018:09:41:10 +0800] "GET /softqin-admin/static/js/jquery-1.7.2.js HTTP/1.1" 200 252881
192.168.1.94 - - [06/Aug/2018:09:41:10 +0800] "GET /softqin-admin/static/js/jquery.tips.js HTTP/1.1" 200 4615
192.168.1.94 - - [06/Aug/2018:09:41:10 +0800] "GET /softqin-admin/static/js/jquery.cookie.js HTTP/1.1" 200 3128
192.168.1.94 - - [06/Aug/2018:09:41:10 +0800] "GET /softqin-admin/static/login/js/jquery.easing.1.3.js HTTP/1.1" 200 8097
192.168.1.94 - - [06/Aug/2018:09:41:10 +0800] "GET /softqin-admin/static/login/js/jquery.mobile.customized.min.js HTTP/1.1" 200 17519
192.168.1.94 - - [06/Aug/2018:09:41:10 +0800] "GET /softqin-admin/static/login/js/templatemo_script.js HTTP/1.1" 200 9777
192.168.1.94 - - [06/Aug/2018:09:41:10 +0800] "GET /softqin-admin/static/login/js/camera.min.js HTTP/1.1" 200 39333
192.168.1.94 - - [06/Aug/2018:09:41:10 +0800] "GET /softqin-admin/static/login/suo.png HTTP/1.1" 200 252
192.168.1.94 - - [06/Aug/2018:09:41:10 +0800] "GET /softqin-admin/static/login/yan.png HTTP/1.1" 200 405
192.168.1.94 - - [06/Aug/2018:09:41:11 +0800] "GET /softqin-admin/static/login/images/camera-loader.gif HTTP/1.1" 200 9289
192.168.1.94 - - [06/Aug/2018:09:41:11 +0800] "GET /softqin-admin/static/login/images/camera_skins.png HTTP/1.1" 200 24198
192.168.1.94 - - [06/Aug/2018:09:41:11 +0800] "GET /softqin-admin/static/login/images/banner_slide_01.jpg?1533519671145 HTTP/1.1" 200 584251
192.168.1.94 - - [06/Aug/2018:09:41:11 +0800] "GET /softqin-admin/static/login/images/banner_slide_02.jpg?1533519671259 HTTP/1.1" 200 391680
192.168.1.94 - - [06/Aug/2018:09:41:11 +0800] "GET /softqin-admin/code.do?t=1533519671083 HTTP/1.1" 200 1390
192.168.1.94 - - [06/Aug/2018:09:41:11 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
192.168.1.94 - - [06/Aug/2018:09:41:21 +0800] "GET /softqin-admin/static/login/images/banner_slide_03.jpg?1533519681488 HTTP/1.1" 200 461644
192.168.1.94 - - [06/Aug/2018:09:41:21 +0800] "POST /softqin-admin/login_login HTTP/1.1" 200 31
192.168.1.94 - - [06/Aug/2018:09:41:22 +0800] "GET /softqin-admin/main/index HTTP/1.1" 200 10454
192.168.1.94 - - [06/Aug/2018:09:41:22 +0800] "GET /softqin-admin/static/css/ace.min.css HTTP/1.1" 200 138159
192.168.1.94 - - [06/Aug/2018:09:41:22 +0800] "GET /softqin-admin/static/css/bootstrap-responsive.min.css HTTP/1.1" 200 16858
192.168.1.94 - - [06/Aug/2018:09:41:22 +0800] "GET /softqin-admin/static/css/chosen.css HTTP/1.1" 200 15435
